,sentences,ingredients
69,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
70,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
71,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
72,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
73,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
74,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
75,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
76,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
77,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
78,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
79,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
80,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
81,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
82,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
83,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
84,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
85,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
86,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
87,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
88,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
89,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
90,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
91,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
92,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
93,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
94,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
95,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
96,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
97,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
98,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
99,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
100,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
101,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
102,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
103,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
104,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
105,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
106,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
107,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
108,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
109,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
110,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
111,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
112,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
113,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
114,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
115,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
116,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
117,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
118,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
119,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
120,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
121,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
122,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
123,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
124,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
125,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
126,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
127,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
128,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
129,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
130,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
131,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
132,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
133,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
134,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
135,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
136,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
137,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
138,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
139,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
140,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
141,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
142,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
143,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
144,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
145,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
146,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
147,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
148,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
149,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
150,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
151,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
152,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
153,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
154,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
155,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
156,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
157,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
158,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
159,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
160,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
161,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
162,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
163,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
164,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
165,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
166,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
167,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
168,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
169,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
170,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
171,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
172,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
173,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
174,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
175,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
176,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
177,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
178,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
179,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
180,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
181,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
182,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
183,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
184,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
185,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
186,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
187,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
188,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
189,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
190,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
191,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
192,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
193,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
194,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
195,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
196,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
197,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
198,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
199,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
200,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
201,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
202,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
203,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
204,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
205,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
206,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
207,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
208,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
209,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
210,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
211,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
212,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
213,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
214,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
215,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
216,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
217,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
218,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
219,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
220,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
221,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
222,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
223,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
224,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
225,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
226,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
227,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
228,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
229,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
230,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
231,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
232,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
233,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
234,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
235,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
236,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
237,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
238,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
239,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
240,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
241,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
242,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
243,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
244,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
245,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
246,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
247,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
248,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
249,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
250,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
251,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
252,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
253,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
254,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
255,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
256,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
257,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
258,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
259,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
260,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
261,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
262,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
263,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
264,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
265,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
266,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
267,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
268,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
269,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
270,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
271,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
272,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
273,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
274,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
275,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
276,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
277,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
278,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
279,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
280,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
281,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
282,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
283,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
284,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
285,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
286,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
